Date,Expiry Date,Option Type,Strike Price,Open Price,High Price,Low Price,Close Price,Last Price,Settlement Price,Volume,Value  (₹ Lakhs) ,Premium Value  (₹ Lakhs) ,Open Interest,Change in OI
12-Dec-2025,24-Feb-2026,XX,"-","1,019.30","1,020.80","1,015.40","1,016.70","1,017.30","1,016.70",107800,"10,97,18,565.00","10,97,18,565.00",831050,66550
11-Dec-2025,24-Feb-2026,XX,"-","1,005.10","1,018.00","1,005.10","1,016.30","1,016.10","1,016.30",96800,"9,81,59,765.00","9,81,59,765.00",764500,14850
10-Dec-2025,24-Feb-2026,XX,"-","1,012.60","1,014.60","1,001.20","1,006.20","1,006.80","1,006.20",428450,"43,07,46,745.00","43,07,46,745.00",749650,242550
09-Dec-2025,24-Feb-2026,XX,"-","1,016.70","1,019.50","1,012.40","1,013.50","1,013.40","1,013.50",231550,"23,54,89,870.00","23,54,89,870.00",507100,162800
08-Dec-2025,24-Feb-2026,XX,"-","1,017.50","1,024.50","1,015.90","1,020.10","1,019.10","1,020.10",213950,"21,82,46,160.00","21,82,46,160.00",344300,139700
05-Dec-2025,24-Feb-2026,XX,"-","1,020.00","1,025.00","1,011.10","1,019.90","1,019.40","1,019.90",70400,"7,17,39,800.00","7,17,39,800.00",204600,22000
04-Dec-2025,24-Feb-2026,XX,"-","1,016.00","1,021.50","1,011.90","1,015.10","1,015.50","1,015.10",34100,"3,46,75,080.00","3,46,75,080.00",182600,4400
03-Dec-2025,24-Feb-2026,XX,"-","1,010.10","1,019.40","1,006.30","1,018.00","1,019.40","1,018.00",99000,"10,00,46,705.00","10,00,46,705.00",178200,44550
02-Dec-2025,24-Feb-2026,XX,"-","1,011.00","1,013.00","1,005.00","1,009.30","1,010.10","1,009.30",117150,"11,80,99,575.00","11,80,99,575.00",133650,37950
01-Dec-2025,24-Feb-2026,XX,"-","1,028.00","1,033.50","1,016.70","1,019.20","1,018.70","1,019.20",55550,"5,68,32,160.00","5,68,32,160.00",95700,32450
28-Nov-2025,24-Feb-2026,XX,"-","1,026.00","1,028.50","1,022.90","1,026.45","1,026.50","1,026.45",35750,"3,67,00,042.50","3,67,00,042.50",63250,17600
27-Nov-2025,24-Feb-2026,XX,"-","1,021.80","1,033.60","1,021.80","1,025.75","1,025.75","1,025.75",52250,"5,38,04,025.00","5,38,04,025.00",45650,28600
